
gyro-data [907]: x:0.089923, z:0.019380, motor-0:0.000000, motor-1:0.052552
gyro-data [908]: x:0.009744, z:0.006647, motor-0:0.000000, motor-1:0.070069
gyro-data [909]: x:0.019239, z:0.003463, motor-0:0.000000, motor-1:0.087594
gyro-data [910]: x:0.032954, z:0.018319, motor-0:0.000000, motor-1:0.095868
gyro-data [911]: x:-0.021906, z:-0.002903, motor-0:0.000000, motor-1:0.104135
gyro-data [912]: x:0.008689, z:-0.002903, motor-0:0.000000, motor-1:0.112409
gyro-data [913]: x:0.025569, z:0.017258, motor-0:0.000000, motor-1:0.120680
gyro-data [914]: x:-0.014521, z:-0.001842, motor-0:0.000000, motor-1:0.128950
gyro-data [915]: x:0.036119, z:0.011952, motor-0:0.000000, motor-1:0.137221
gyro-data [916]: x:-0.027181, z:-0.013514, motor-0:0.000000, motor-1:0.145495
gyro-data [917]: x:0.024514, z:-0.000781, motor-0:0.000000, motor-1:0.153768
gyro-data [918]: x:0.003414, z:-0.000781, motor-0:0.000000, motor-1:0.162039
gyro-data [919]: x:0.000249, z:0.008769, motor-0:0.000000, motor-1:0.170309
gyro-data [920]: x:-0.005026, z:0.004525, motor-0:0.000000, motor-1:0.178585
gyro-data [921]: x:0.005524, z:0.003463, motor-0:0.000000, motor-1:0.186859
gyro-data [922]: x:0.011854, z:0.000280, motor-0:0.000000, motor-1:0.195126
gyro-data [923]: x:0.011854, z:0.006647, motor-0:0.000000, motor-1:0.203397
gyro-data [924]: x:-0.021906, z:-0.011392, motor-0:0.000000, motor-1:0.211672
gyro-data [925]: x:-0.006081, z:-0.002903, motor-0:0.000000, motor-1:0.219943
gyro-data [926]: x:-0.056721, z:-0.028370, motor-0:0.000000, motor-1:0.228212
gyro-data [927]: x:0.035064, z:0.025747, motor-0:0.000000, motor-1:0.236485
gyro-data [928]: x:-0.070436, z:-0.038981, motor-0:0.000000, motor-1:0.240573
gyro-data [929]: x:0.034009, z:0.024686, motor-0:0.000000, motor-1:0.244662
gyro-data [930]: x:-0.057776, z:-0.026248, motor-0:0.000000, motor-1:0.248748
gyro-data [931]: x:0.016074, z:0.003463, motor-0:0.000000, motor-1:0.252835
gyro-data [932]: x:0.007634, z:0.014075, motor-0:0.000000, motor-1:0.256923
gyro-data [933]: x:-0.046171, z:-0.033675, motor-0:0.000000, motor-1:0.261010
gyro-data [934]: x:0.081483, z:0.053336, motor-0:0.000000, motor-1:0.265096
gyro-data [935]: x:-0.070436, z:-0.047470, motor-0:0.000000, motor-1:0.269184
gyro-data [936]: x:0.060384, z:0.026808, motor-0:0.000000, motor-1:0.273273
gyro-data [937]: x:0.017129, z:0.022563, motor-0:0.000000, motor-1:0.276327
gyro-data [938]: x:-0.083095, z:-0.057020, motor-0:0.000000, motor-1:0.279380
gyro-data [939]: x:0.092033, z:0.056519, motor-0:0.000000, motor-1:0.282435
gyro-data [940]: x:-0.026126, z:-0.014575, motor-0:0.000000, motor-1:0.285491
gyro-data [941]: x:0.087813, z:0.060763, motor-0:0.000000, motor-1:0.288543
gyro-data [942]: x:0.044559, z:0.042725, motor-0:0.000000, motor-1:0.291598
gyro-data [943]: x:-0.071491, z:-0.061264, motor-0:0.000000, motor-1:0.294652
gyro-data [944]: x:0.046669, z:0.031052, motor-0:0.000000, motor-1:0.297707
gyro-data [945]: x:0.029789, z:0.034236, motor-0:0.000000, motor-1:0.300761
gyro-data [946]: x:-0.108415, z:-0.072936, motor-0:0.000000, motor-1:0.303814
gyro-data [947]: x:0.089923, z:0.067130, motor-0:0.000000, motor-1:0.306869
gyro-data [948]: x:-0.049336, z:-0.038981, motor-0:0.000000, motor-1:0.309924
gyro-data [949]: x:-0.092590, z:-0.069753, motor-0:0.000000, motor-1:0.312978
gyro-data [950]: x:0.099418, z:0.073497, motor-0:0.000000, motor-1:0.316031
gyro-data [951]: x:-0.051446, z:-0.038981, motor-0:0.000000, motor-1:0.319088
gyro-data [952]: x:0.019239, z:0.014075, motor-0:0.000000, motor-1:0.322141
gyro-data [953]: x:0.001304, z:0.006647, motor-0:0.000000, motor-1:0.325194
gyro-data [954]: x:-0.080985, z:-0.073998, motor-0:0.000000, motor-1:0.328249
gyro-data [955]: x:0.002359, z:-0.002903, motor-0:0.000000, motor-1:0.331303
gyro-data [956]: x:0.040339, z:0.029991, motor-0:0.000000, motor-1:0.334358
